70000_a,fillSnooper
70641_bl,getMaxSpawnedInChunk
70642_aH,playAmbientSound
70643_av,getRevengeTarget
70644_a,isPotionActive
70645_a,onDeath
70646_bf,getVerticalFaceSpeed
70647_i,getSoundPitch
70648_aU,canBreatheUnderwater
70650_aV,ableToCauseSkullDrop
70651_bq,getActivePotionEffects
70652_k,attackEntityAsMob
70654_ax,getIdleTime
70655_b,applyArmorCalculations
70656_aK,spawnExplosionParticle
70657_f,setMoveVertical
70658_aO,getTotalArmorValue
70659_e,setAIMoveSpeed
70660_b,getActivePotionEffect
70661_as,getNavigator
70662_br,isEntityUndead
70663_b,updateRotation
70664_aZ,jump
70665_d,damageEntity
70668_bt,getCreatureAttribute
70669_a,renderBrokenItemStack
70670_a,onNewPotionEffect
70671_ap,getLookController
70672_c,applyPotionDamageCalculations
70676_i,getLook
70678_g,getSwingProgress
70679_bo,updatePotionEffects
70681_au,getRNG
70682_h,decreaseAirSupply
70683_ar,getJumpController
70684_aJ,isPlayer
70685_l,canEntityBeSeen
70687_e,isPotionApplicable
70688_c,onFinishedPotionEffect
70689_ay,getAIMoveSpeed
70691_i,heal
70693_a,getExperiencePoints
70695_b,onChangedPotionEffect
70781_l,hasPath
70799_a,setSlimeSize
70800_m,canDamagePlayer
70806_k,getJumpDelay
70807_r,makesSoundOnJump
70808_l,alterSquishAmount
70809_q,getSlimeSize
70816_c,teleportToEntity
70820_n,teleportRandomly
70821_d,shouldAttackPlayer
70823_r,isScreaming
70825_j,teleportTo
70829_a,setCreeperState
70831_j,getCreeperFlashIntensity
70832_p,getCreeperState
70839_e,setBesideClimbableBlock
70841_p,isBesideClimbableBlock
70844_e,setOnFire
70845_n,isCharged
70849_f,setPlayerCreated
70850_q,isPlayerCreated
70851_e,setHoldingRose
70853_p,getHoldRoseTick
70854_o,getAttackTimer
70873_a,setGrowingAge
70874_b,getGrowingAge
70875_t,resetInLove
70877_b,isBreedingItem
70878_b,canMateWith
70880_s,isInLove
70890_k,getHeadRotationAngleX
70892_o,getSheared
70893_e,setSheared
70894_j,getHeadRotationPointY
70902_q,getOwner
70903_f,setTamed
70908_e,playTameEffect
70909_n,isTamed
70915_j,getShadingWhileWet
70917_k,getInterestedAngle
70918_i,setBegging
70920_v,getTailRotation
70921_u,isWolfWet
70922_bv,isBegging
70923_f,getShakeAngle
70931_l_,getCustomer
70932_a_,setCustomer
70969_j,updateDragonEnderCrystal
70970_a,collideWithEntities
70971_b,attackEntitiesInList
70972_a,destroyBlocksInAABB
70973_b,simplifyAngle
70974_a,getMovementOffsets
70996_bM,shouldHeal
71000_j,addMovementStat
71001_a,onItemPickup
71004_bE,respawnPlayer
71005_bN,getInventoryEnderChest
71009_b,onCriticalHit
71015_k,addMountedMovementStat
71016_p,sendPlayerAbilities
71019_a,dropItem
71020_j,addExhaustion
71024_bL,getFoodStats
71026_bH,isPlayerFullyAsleep
71029_a,addStat
71033_a,setGameType
71036_o,onItemUseFinish
71037_bA,getScore
71043_e,canEat
71044_o,collideWithPlayer
71047_c,onEnchantmentCritical
71050_bK,xpBarCap
71053_j,closeScreen
71059_n,attackTargetEntityWithCurrentItem
71060_bI,getSleepTimer
71061_d_,doWaterSplashEffect
71064_a,addStat
71110_a,sendAllContents
71111_a,sendSlotContents
71112_a,sendWindowProperty
71113_k,updateHeldItem
71114_r,getPlayerIP
71116_b,addSelfToInternalCraftingInventory
71117_bO,getNextWindowId
71118_n,setPlayerHealthUpdated
71120_a,sendContainerToPlayer
71121_q,getServerWorld
71122_b,handleFalling
71123_m,disconnect
71127_g,playerTick
71128_l,closeContainer
71150_b,setPlayerSPHealth
71152_a,setXPStats
71165_d,sendChatMessage
71188_g,setAllowPvp
71189_e,setHostname
71190_q,updateTimeLightAndEntities
71191_d,setBuildLimit
71197_b,init
71199_h,isHardcore
71200_ad,serverIsInRunLoop
71204_b,setDemo
71205_p,setMOTD
71207_Z,getBuildLimit
71208_b,setServerPort
71209_f,getFile
71211_k,getServerHostname
71213_z,getOnlinePlayerNames
71214_G,getServerOwner
71215_F,getServerPort
71217_p,tick
71218_a,getWorld
71219_W,isPVPEnabled
71224_l,setServerOwner
71228_a,finalTick
71229_d,setOnlineMode
71230_b,addServerInfoToCrashReport
71231_X,isFlightAllowed
71233_x,getCurrentPlayerCount
71234_u,getPort
71235_a,setGameType
71238_n,getDataDirectory
71240_o,systemExitNow
71241_aa,isServerStopped
71242_L,isDemo
71245_h,setAllowFlight
71249_w,getMinecraftVersion
71250_E,getKeyPair
71252_i,handleRConCommand
71255_r,getAllowNether
71258_A,getPlugins
71259_af,getTickCounter
71260_j,stopServer
71262_S,isDedicatedServer
71263_m,initiateShutdown
71264_H,isSinglePlayer
71265_f,getGameType
71266_T,isServerInOnlineMode
71273_Y,getMOTD
71274_v,getMotd
71275_y,getMaxPlayers
71277_t,getHostname
71278_l,isServerRunning
71279_ae,getGuiEnabled
71333_ah,executePendingCommands
71344_c,getPublic
71351_a,setServerData
71355_q,isDemo
71356_B,isSingleplayer
71359_d,getSaveLoader
71375_t,isFancyGraphicsEnabled
71377_b,displayCrashReport
71378_E,getSnooper
71379_u,isAmbientOcclusionEnabled
71382_s,isGuiEnabled
71383_b,updateDebugProfilerName
71385_j,displayInGameMenu
71387_A,isIntegratedServerRunning
71396_d,addGraphicsAndWorldToCrashReport
71398_f,freeMemory
71400_g,shutdown
71401_C,getIntegratedServer
71403_a,loadWorld
71404_a,crashed
71405_e,shutdownMinecraftApplet
71407_l,runTick
71410_x,getInstance
71497_f,getFile
71498_d,getCauseStackTraceOrString
71499_a,addCrashSectionThrowable
71501_a,getDescription
71502_e,getCompleteReport
71503_h,getWittyComment
71504_g,populateEnvironment
71505_b,getCrashCause
71506_a,getSectionsInStringBuilder
71507_a,addDetail
71565_a,filterAllowedCharacters
71566_a,isAllowedCharacter
71575_a,getCrashReport
72314_b,grow
72317_d,offset
72318_a,contains
72320_b,getAverageEdgeLength
72321_a,expand
72326_a,intersects
72352_l,getMaxPlayers
72354_b,sendWorldInfo
72355_a,initializeConnectionToPlayer
72363_f,getBannedIPs
72365_p,getServer
72367_e,playerLoggedOut
72369_d,getOnlinePlayerNames
72371_a,setWhiteListEnabled
72374_b,tick
72378_q,getHostPlayerData
72380_a,readPlayerDataFromFile
72381_a,setPlayerGameTypeBasedOnOther
72382_j,getPlayersMatchingAddress
72383_n,isWhiteListEnabled
72385_f,sendInventory
72387_b,setCommandsAllowedForAll
72389_g,saveAllPlayerData
72391_b,writePlayerData
72392_r,removeAllPlayers
72394_k,getCurrentPlayerCount
72395_o,getViewDistance
72417_t,loadOpsList
72418_v,readWhiteList
72419_u,saveOpsList
72421_w,saveWhiteList
72430_b,dotProduct
72431_c,crossProduct
72432_b,normalize
72433_c,length
72436_e,squareDistanceTo
72438_d,distanceTo
72441_c,add
72444_a,subtractReverse
72591_c,getRequestId
72592_a,getRandomChallenge
72593_a,hasExpired
72594_b,getChallengeValue
72613_c,isRunning
72620_a,sendResponsePacket
72621_a,parseIncomingPacket
72622_d,sendAuthChallenge
72623_a,stopWithException
72624_b,createQueryResponse
72625_a,getRequestID
72626_g,initQuerySystem
72627_c,verifyClientAuth
72628_f,cleanQueryClientsMap
72645_g,cleanClientThreadsMap
72653_g,closeSocket
72654_a,sendResponse
72655_a,sendMultipacketResponse
72656_f,sendLoginFailedResponse
72661_a,getBytesAsString
72662_b,getRemainingBytesAsLEInt
72663_a,getByteAsHexString
72664_c,getBytesAsBEint
72665_b,getBytesAsLEInt
72667_a,writeInt
72668_a,writeShort
72669_b,reset
72670_a,writeByteArray
72671_a,writeString
72672_a,toByteArray
72712_a,loadRenderers
72720_a,createBindEntityOutlineFbs
72723_d,getDebugInfoEntities
72728_f,deleteAllDisplayLists
72732_a,setWorldAndLoadRenderers
72734_e,tick
72735_c,getDebugInfoRenders
72819_i,getThunderStrength
72820_D,getDayTime
72827_u,getProviderName
72835_b,tick
72838_d,addEntity0
72839_b,getEntitiesWithinAABBExcludingEntity
72854_c,updateAllPlayersSleepingFlag
72863_F,getChunkProvider
72867_j,getRainStrength
72877_b,setDayTime
72882_A,sendQuittingDisconnectingPacket
72891_a,setAllowedSpawnTypes
72894_k,setRainStrength
72896_J,isRaining
72905_C,getSeed
72911_I,isThundering
72912_H,getWorldInfo
72914_a,fillCrashReport
72929_e,getCelestialAngleRadians
72935_r,isDaytime
72947_a,calculateInitialWeather
72953_d,containsAnyLiquid
72960_a,setEntityState
72966_v,calculateInitialSkylight
73022_a,removeAllEntities
73029_E,animateTick
73042_a,saveLevel
73045_a,getEntityByID
73046_m,getServer
73051_P,resetRainAndThunder
73075_a,tick
73076_a,setGameType
73077_b,initializeGameType
73080_a,setWorld
73081_b,getGameType
73083_d,isCreative
73101_e,sendDemoReminder
73106_e,getPartialBlockDamage
73107_a,setPartialBlockDamage
73148_d,makeString
73149_a,chunkExists
73152_e,getLoadedChunkCount
73234_b,unloadChunk
73660_a,tick
73680_d,getBanEndDate
73682_e,hasBanExpired
73686_f,getBanReason
73718_a,setLoadingProgress
73831_a,tick
73834_c,getTicks
73969_a,addSingleplayerMultiplayerButtons
73972_b,addDemoButtons
74290_a,getTimestampedPNGFileForDirectory
74300_a,loadOptions
74303_b,saveOptions
74305_a,parseFloat
74428_b,tick
74430_c,getRemoteAddress
74505_d,unpressKey
74506_a,unPressAllKeys
74508_b,resetKeyBindingArrayAndHash
74518_a,disableStandardItemLighting
74524_c,createDirectByteBuffer
74529_h,createDirectFloatBuffer
74539_c,getChatLineID
74540_b,getUpdatedCounter
74732_a,getId
74734_a,write
74737_b,copy
74757_a,putBoolean
74759_k,getIntArray
74760_g,getFloat
74762_e,getInt
74763_f,getLong
74764_b,contains
74765_d,getShort
74767_n,getBoolean
74768_a,putInt
74769_h,getDouble
74770_j,getByteArray
74771_c,getByte
74772_a,putLong
74773_a,putByteArray
74774_a,putByte
74775_l,getCompound
74776_a,putFloat
74777_a,putShort
74778_a,putString
74779_i,getString
74780_a,putDouble
74781_a,get
74783_a,putIntArray
74794_a,read
74795_b,write
74796_a,readCompressed
74797_a,read
74799_a,writeCompressed
74800_a,write
74808_a,getInstance
74860_a,isLiquidInStructureBoundingBox
74861_a,buildComponent
74862_a,getYWithOffset
74865_a,getXWithOffset
74873_b,getZWithOffset
74874_b,getBoundingBox
74877_c,getComponentType
74878_a,fillWithAir
74882_a,fillWithRandomizedBlocks
74883_a,findIntersecting
74960_a,getTotalWeight
74961_b,getNextComponentX
74963_a,getNextComponentNormal
74964_a,isAboveGround
74965_c,getNextComponentZ
74986_a,getNextComponentNormal
74987_c,getNextComponentZ
74988_a,getRandomDoor
74989_b,getNextComponentX
74991_a,canStrongholdGoDeeper
75062_a,selectBlocks
75069_d,isValid
75071_a,getBoundingBox
75091_a,write
75093_a,getFlySpeed
75094_b,getWalkSpeed
75095_b,read
75112_a,read
75113_a,addExhaustion
75114_a,setFoodLevel
75115_e,getSaturationLevel
75116_a,getFoodLevel
75117_b,write
75118_a,tick
75119_b,setFoodSaturationLevel
75121_c,needFood
75122_a,addStats
75128_a,setCanCraft
75129_b,getCanCraft
75130_a,onCraftMatrixChanged
75132_a,addListener
75134_a,onContainerClosed
75135_a,mergeItemStack
75136_a,getNextTransactionID
75137_b,updateProgressBar
75138_a,getInventory
75139_a,getSlot
75140_a,enchantItem
75141_a,putStackInSlot
75142_b,detectAndSendChanges
75145_c,canInteractWith
75146_a,addSlot
75175_c,setCurrentRecipeIndex
75189_a,canSpawnMoreStructuresOfType
75190_a,canSpawnMoreStructures
75198_a,prepareStructurePieces
75202_c,canAddStructurePieces
75208_c,onCrafting
75209_a,decrStackSize
75210_a,onCrafting
75211_c,getStack
75214_a,isItemValid
75215_d,putStack
75216_d,getHasStack
75218_e,onSlotChanged
75219_a,getSlotStackLimit
75220_a,onSlotChange
75243_a_,canHoldPotion
75246_d,tick
75249_e,startExecuting
75250_a,shouldExecute
75251_c,resetTask
75253_b,shouldContinueExecuting
75277_f,isRunning
75295_a,canEasilyReach
75366_f,findPossibleShelter
75382_a,hasTemptationItemInHand
75388_i,spawnBaby
75389_f,getNearbyMate
75414_f,resizeDoorList
75461_b,findRandomTargetBlockAwayFrom
75463_a,findRandomTarget
75464_a,findRandomTargetBlockTowards
75484_a,setPath
75485_k,canNavigate
75487_m,trimPath
75489_a,setSpeed
75492_a,tryMoveToXYZ
75493_a,isDirectPathBetweenPoints
75494_a,pathfind
75497_a,tryMoveToEntityLiving
75499_g,clearPath
75500_f,noPath
75501_e,tick
75502_i,getEntityPosition
75505_d,getPath
75506_l,isInLiquid
75508_h,pathFollow
75522_a,canSee
75523_a,tick
75529_b,trySetupSiege
75530_c,spawnZombie
75599_d,getPeacefulCreature
75601_b,getMaxNumberOfCreature
75638_b,getSpeed
75639_a,limitAngle
75640_a,isUpdating
75641_c,tick
75642_a,setMoveTo
75649_a,tick
75650_a,setLookPosition
75651_a,setLookPositionWithEntity
75660_a,setJumping
75661_b,tick
75664_a,updateRenderAngles
75774_a,tick
75776_a,addGoal
75783_h,getCheatsEnabled
75784_e,getLastTimePlayed
75785_d,requiresConversion
75786_a,getFileName
75788_b,getDisplayName
75789_g,isHardcoreModeEnabled
75790_f,getEnumGameType
75799_b,getSaveList
75829_a,distanceTo
75830_a,makeHash
75831_a,isAssigned
75832_b,distanceToSquared
75844_c,dequeue
75845_e,isPathEmpty
75846_b,sortForward
75847_a,sortBack
75848_a,clearPath
75849_a,addPoint
75850_a,changeTotalCost
75870_c,getFinalPathPoint
75872_c,setCurrentPathIndex
75873_e,getCurrentPathIndex
75874_d,getCurrentPathLength
75875_a,incrementPathIndex
75876_a,isSamePath
75877_a,getPathPointFromIndex
75878_a,getPosition
75879_b,isFinished
75881_a,getVectorFromIndex
75885_a,cipherOperation
75886_a,createTheCipherInstance
75887_a,decryptSharedKey
75889_b,decryptData
75890_a,createNewSharedKey
75891_b,generateKeyPair
75894_a,encryptData
75895_a,getServerIdHash
75896_a,decodePublicKey
75968_a,format
76056_b,setSpawnY
76058_a,setSpawnX
76059_o,isRaining
76061_m,isThundering
76065_j,getWorldName
76068_b,setDayTime
76069_a,setThundering
76070_v,isInitialized
76071_n,getThunderTime
76073_f,getDayTime
76074_e,getSpawnZ
76075_d,getSpawnY
76077_q,getGameType
76079_c,getSpawnX
76080_g,setRainTime
76083_p,getRainTime
76084_b,setRaining
76086_u,areCommandsAllowed
76087_c,setSpawnZ
76090_f,setThunderTime
76091_d,setInitialized
76093_s,isHardcore
76123_f,ceil
76124_d,lfloor
76125_a,clamp
76126_a,sin
76127_a,average
76128_c,floor
76129_c,sqrt
76130_a,abs
76131_a,clamp
76132_a,absMax
76133_a,sqrt
76134_b,cos
76135_e,abs
76136_a,nextInt
76137_a,intFloorDiv
76138_g,wrapDegrees
76140_b,fastFloor
76141_d,floor
76142_g,wrapDegrees
76143_f,ceil
76181_a,getSuitableLanPort
76184_a,read
76185_a,markDirty
76186_a,setDirty
76188_b,isDirty
76191_a,updateVisiblePlayers
76217_h,isFlammable
76218_k,isOpaque
76220_a,isSolid
76222_j,isReplaceable
76224_d,isLiquid
76230_c,blocksMovement
76271_a,getRandomItem
76272_a,getTotalWeight
76273_a,getRandomItem
76316_a,onInventoryChanged
76319_b,endSection
76320_a,startSection
76337_a,ticksToElapsedTime
76338_a,stripControlCodes
76340_b,getB
76341_a,getA
76345_d,getHungerDamage
76346_g,getTrueSource
76347_k,isFireDamage
76348_h,setDamageBypassesArmor
76349_b,setProjectile
76350_n,isDifficultyScaled
76351_m,setDifficultyScaled
76352_a,isProjectile
76353_a,causeArrowDamage
76354_b,causeIndirectMagicDamage
76355_l,getDamageType
76356_a,causeThrownDamage
76357_e,canHarmInCreative
76358_a,causeMobDamage
76359_i,setDamageAllowedInCreativeMode
76361_j,setFireDamage
76363_c,isUnblockable
76364_f,getImmediateSource
76365_a,causePlayerDamage
76393_a,getName
76394_a,performEffect
76397_a,isReady
76401_j,getLiquidColor
76403_b,isInstant
76453_d,getEffectName
76454_e,deincrementDuration
76455_a,tick
76457_b,performEffect
76458_c,getAmplifier
76459_b,getDuration
76463_a,start
76468_d,isSnooperRunning
76470_e,stop
76471_b,addMemoryStatsToSnooper
76581_a,set
76582_a,get
76587_i,getSections
76606_c,isEmptyBetween
76608_a,removeEntityAtIndex
76612_a,addEntity
76621_g,isEmpty
76622_b,removeEntity
76625_h,getTopFilledSegment
76630_e,markDirty
76632_l,getPos
76663_a,isEmpty
76672_e,recalculateRefCounts
76675_b,needsRandomTick
76686_a,get
76691_a,load
76727_i,getDownfall
76736_e,isHighHumidity
76983_a,getFontRendererFromRenderManager
77037_a,getDeathMaxRotation
77040_d,getSwingProgress
77044_a,handleRotationFloat
77142_a,getByName
77144_e,isSurvivalOrAdventure
77145_d,isCreative
77146_a,getByID
77147_a,configurePlayerCapabilities
77148_a,getID
77149_b,getName
77191_a,performWorldGenSpawning
77272_a,asLong
77277_b,getPlayerKnockbackMap
77278_a,doExplosionA
77279_a,doExplosionB
77318_a,calcModifierDamage
77319_d,getMinLevel
77320_a,getName
77321_a,getMinEnchantability
77324_c,getRarity
77325_b,getMaxLevel
77326_a,canApplyTogether
77444_a,getValue
77466_a,getSpruce
77467_a,setFoliageBiomeColorizer
77468_c,getDefault
77469_b,getBirch
77470_a,get
77479_a,setGrassBiomeColorizer
77480_a,get
77487_a,getServerMotd
77488_b,getServerIpPort
77489_c,updateLastSeen
77501_a,getKnockbackModifier
77504_a,addRandomEnchantment
77506_a,getEnchantmentLevel
77508_a,getEnchantmentModifierDamage
77513_b,buildEnchantmentList
77514_a,calcItemStackEnchantability
77516_a,applyEnchantmentModifierArray
77518_a,applyEnchantmentModifier
77523_b,getAdFromPingResponse
77524_a,getMotdFromPingResponse
77525_a,getPingResponse
77551_a,addServer
77552_b,setWasNotUpdated
77553_a,getWasUpdated
77554_c,getLanServers
77557_a,canEnchantItem
77569_a,matches
77571_b,getRecipeOutput
77572_b,getCraftingResult
77573_a,checkMatch
77612_l,getMaxDamage
77613_e,getRarity
77615_a,onPlayerStoppedUsing
77616_k,isEnchantable
77619_b,getItemEnchantability
77622_d,onCreated
77624_a,addInformation
77626_a,getUseDuration
77634_r,hasContainerItem
77636_d,hasEffect
77639_j,getMaxStackSize
77640_w,getGroup
77643_m_,isComplex
77644_a,hitEntity
77645_m,isDamageable
77651_p,shouldSyncTag
77654_b,onItemUseFinish
77658_a,getTranslationKey
77659_a,onItemRightClick
77661_b,getUseAction
77663_a,inventoryTick
77667_c,getTranslationKey
77668_q,getContainerItem
77828_a,validBookTagContents
77872_a,updateMapData
77942_o,hasTag
77945_a,inventoryTick
77946_l,copy
77948_v,isEnchanted
77950_b,onItemUseFinish
77951_h,isDamaged
77952_i,getDamage
77953_t,getRarity
77955_b,write
77956_u,isEnchantable
77957_a,useItemRightClick
77958_k,getMaxDamage
77959_d,isItemStackEqual
77961_a,hitEntity
77962_s,hasEffect
77966_a,addEnchantment
77969_a,isItemEqual
77970_a,areItemStackTagsEqual
77973_b,getItem
77974_b,onPlayerStoppedUsing
77975_n,getUseAction
77976_d,getMaxStackSize
77977_a,getTranslationKey
77978_p,getTag
77979_a,split
77980_a,onCrafting
77982_d,setTag
77983_a,setTagInfo
77984_f,isDamageable
77985_e,isStackable
77986_q,getEnchantmentTagList
77988_m,getUseDuration
77989_b,areItemStacksEqual
78014_h,setNoTitle
78015_f,getBackgroundImageName
78016_d,createIcon
78017_i,hasScrollbar
78018_a,fill
78019_g,drawInForegroundOfGroup
78020_k,getColumn
78021_a,getIndex
78022_j,setNoScrollbar
78023_l,isOnTopRow
78025_a,setBackgroundImageName
78240_a,setTextureUV
78256_a,getStringWidth
78260_a,getBidiFlag
78267_b,getWordWrappedHeight
78381_a,draw
78441_a,tick
78464_a,tick
78473_a,getMouseOver
78477_e,updateFovModifierHand
78713_a,getRenderer
78714_a,getDistanceToCamera
78716_a,getFontRenderer
78717_a,setWorld
78746_a,setGameType
78748_a,setPlayerCapabilities
78749_i,extendedReach
78750_j,syncCurrentPlayItem
78752_a,sendPacketDropItem
78755_b,shouldDrawHUD
78756_a,sendEnchantPacket
78757_d,getBlockReachDistance
78758_h,isInCreativeMode
78761_a,sendSlotPacket
78762_g,isNotCreative
78763_f,gameIsSurvivalOrAdventure
78764_a,attackEntity
78765_e,tick
78766_c,onStoppedUsingItem
78767_c,resetBlockRemoving
78784_a,setTextureOffset
78787_b,setTextureSize
78792_a,addChild
78793_a,setRotationPoint
78822_a,doPlace
78823_a,isValid
78836_a,getNBTCompound
78837_a,getServerDataFromNBTCompound
78849_a,addServerData
78850_a,getServerData
78853_a,loadServerList
78855_b,saveServerList
78856_c,countServers
78857_a,swapServers
78860_a,fromString
78861_a,getIP
78862_a,getInt
78864_b,getPort
78868_a,tick
78869_b,getStatistics
78870_a,clearEffects
78873_a,addEffect
78880_d,getZSize
78882_c,getYSize
78883_b,getXSize
78884_a,intersectsWith
78885_a,intersectsWith
78886_a,offset
78887_a,getNewBoundingBox
78888_b,expandTo
80003_ah,getSnooper
80006_f,getUniqueID
82010_a,registerTickable
82142_c,setInvisible
82143_as,getMaxFallHeight
82145_z,getMaxInPortalTime
82147_ab,getPortalCooldown
82149_j,copyLocationAndAnglesFrom
82150_aj,isInvisible
82166_i,getArmSwingAnimationEnd
82167_n,collideWithEntity
82168_bl,updateArmSwingProgress
82171_bF,canBeSteered
82195_e,attackDragonFrom
82196_d,attackEntityWithRangedAttack
82197_f,setDrinkingPotion
82203_t,getWatchedTargetId
82204_b,rotlerp
82206_m,ignite
82207_a,getHeadYRotation
82208_v,getHeadY
82209_a,launchWitherSkullToCoords
82210_r,getHeadXRotation
82211_c,updateWatchedTargetId
82212_n,getInvulTime
82213_w,getHeadZ
82214_u,getHeadX
82215_s,setInvulTime
82216_a,launchWitherSkullToEntity
82227_f,setChild
82230_o,isConverting
82235_h,getIsBatHanging
82236_f,setIsBatHanging
82242_a,addExperienceLevel
82329_d,getWidthPixels
82330_g,getHeightPixels
82333_j,getRotation
82334_a,setDisplayedItem
82335_i,getDisplayedItem
82336_g,setItemRotation
82338_g,setAlphaF
82341_c,getMotionFactor
82342_d,isSkullInvulnerable
82343_e,setSkullInvulnerable
82356_Z,isCommandBlockEnabled
82357_ak,getSpawnProtectionSize
82485_a,playDispenseSound
82486_a,doDispense
82487_b,dispenseStack
82489_a,spawnDispenseParticles
82498_a,getProjectileInaccuracy
82499_a,getProjectileEntity
82500_b,getProjectileVelocity
82568_a,getMapInfo
82572_b,setGameTime
82573_f,getGameTime
82574_x,getGameRulesInstance
82580_o,remove
82594_a,getOrDefault
82599_e,getZOffset
82600_a,byIndex
82601_c,getXOffset
82615_a,getX
82616_c,getZ
82617_b,getY
82645_d,updateLayers
82648_a,getBiome
82650_c,getFlatLayers
82656_d,getMinY
82657_a,getLayerCount
82660_d,setMinY
82705_e,getAnimal
82714_a,getInt
82715_a,getInt
82716_a,nextDouble
82719_a,write
82720_e,isAmbient
82722_b,read
82725_o,isMagicDamage
82726_p,setMagicDamage
82736_K,getGameRules
82737_E,getGameTime
82742_i,resetUpdateEntityTick
82743_f,getCreationCloudUpdateTick
82744_b,setCloudUpdateTick
82752_c,hasLimitedInteractions
82770_a,write
82781_a,getEnchantments
82782_a,setEnchantments
82789_a,getIsRepairable
82836_z,getItemFrame
82837_s,hasDisplayName
82838_A,getRepairCost
82839_y,isOnItemFrame
82840_a,getTooltip
82841_c,setRepairCost
82846_b,transferStackInSlot
82847_b,removeListener
82848_d,updateRepairOutput
82850_a,updateItemName
82869_a,canTakeStack
82877_b,setWalkSpeed
82879_c,sendSettingsToServer
85029_a,fillCrashReport
85031_j,hitByEntity
85033_bc,collideWithNearbyEntities
85034_r,setArrowCountInEntity
85035_bI,getArrowCountInEntity
85036_m,setCombatTask
85039_t,addScore
85040_s,setScore
85054_d,searchForOtherItemsNearby
85055_a,makeCrashReport
85056_g,getCategory
85057_a,makeCategoryDepth
85058_a,makeCategory
85069_a,firstTwoElementsOfStackTraceMatch
85070_b,trimStackTraceEntriesFromBottom
85072_a,appendToStringBuilder
85073_a,getPrunedStackTrace
85074_a,getCoordinateInfo
85089_a,getKey
85090_b,getValue
85118_a,addToCrashReport
