74321_H,keyBindPlayerList
74322_I,keyBindPickBlock
74323_J,keyBindCommand
74324_K,keyBindings
74326_T,smoothCamera
74329_Q,showDebugProfilerChart
74330_P,showDebugInfo
74332_R,lastServer
74333_Y,gamma
74334_X,fov
74335_Z,guiScale
74336_f,viewBobbing
74338_d,invertMouse
74341_c,mouseSensitivity
74343_n,chatVisibility
74344_o,chatColor
74345_l,cloudOption
74348_k,ambientOcclusionStatus
74350_i,framerateLimit
74351_w,keyBindForward
74352_v,vsync
74353_u,fullscreen
74354_ai,optionsFile
74355_t,snooper
74357_r,chatOpacity
74358_q,chatLinksPrompt
74359_p,chatLinks
74362_aa,particles
74363_ab,language
74366_z,keyBindRight
74368_y,keyBindBack
74370_x,keyBindLeft
74512_d,keyCode
74513_e,pressed
74514_b,HASH
74515_c,keyDescription
74516_a,KEYBIND_ARRAY
74541_b,lineString
74542_c,chatLineID
74543_a,updateCounterCreated
74746_b,tagType
74747_a,tagList
74748_a,data
74749_a,intArray
74750_a,data
74751_a,data
74752_a,data
74753_a,data
74754_a,data
74755_a,data
74756_a,data
74784_a,tagMap
74885_f,coordBaseMode
74886_g,componentType
74887_e,boundingBox
74949_a,connectedRooms
74952_b,isMultipleFloors
74953_a,corridorDirection
74955_d,sectionCount
74956_b,hasSpiders
74957_c,spawnerPlaced
74958_a,hasRails
74967_d,pendingChildren
74968_b,primaryWeights
74969_c,secondaryWeights
74970_a,lastPlaced
74972_a,fillSeed
74976_a,hasSpawner
74993_a,steps
74995_d,rightLow
74996_b,leftLow
74997_c,leftHigh
74999_h,rightHigh
75002_c,hasMadeChest
75005_a,hasSpawner
75008_c,isLargeRoom
75013_b,roomType
75019_b,expandsX
75020_c,expandsZ
75024_a,source
75025_b,strongholdPortalRoom
75026_c,pendingChildren
75027_a,lastPlaced
75074_b,bounds
75075_a,components
75096_f,flySpeed
75097_g,walkSpeed
75098_d,isCreativeMode
75099_e,allowEdit
75100_b,isFlying
75101_c,allowFlying
75102_a,disableDamage
75123_d,foodTimer
75124_e,prevFoodLevel
75125_b,foodSaturationLevel
75126_c,foodExhaustionLevel
75127_a,foodLevel
75148_f,playerList
75149_d,listeners
75150_e,transactionID
75151_b,inventorySlots
75152_c,windowId
75153_a,inventoryItemStacks
75154_f,numRows
75155_e,lowerChestInventory
75160_f,craftResult
75162_e,craftMatrix
75167_g,enchantLevels
75168_e,tableInventory
75169_l,rand
75176_f,merchantInventory
75178_e,merchant
75179_f,craftResult
75180_g,isLocalWorld
75181_e,craftMatrix
75186_f,slot
75188_e,tileBrewingStand
75191_d,instancesLimit
75192_b,pieceWeight
75193_c,instancesSpawned
75194_a,pieceClass
75203_d,strongComponentType
75204_e,STRONGHOLD_STONES
75205_b,PIECE_WEIGHTS
75206_c,structurePieceList
75207_a,totalWeight
75221_f,yPos
75222_d,slotNumber
75223_e,xPos
75224_c,inventory
75225_a,slotIndex
75228_b,removeCount
75229_a,player
75231_g,removeCount
75232_b,player
75233_a,merchantInventory
75234_h,merchant
75237_g,amountCrafted
75238_b,player
75239_a,craftMatrix
75255_d,idleTime
75256_b,lookX
75257_c,lookZ
75258_a,idleEntity
75263_d,randPosY
75264_e,randPosZ
75265_b,speed
75266_c,randPosX
75267_a,creature
75268_b,creeperAttackTarget
75269_a,swellingCreeper
75272_a,tameable
75273_a,entity
75276_a,villager
75278_f,pitch
75279_g,yaw
75280_d,targetY
75281_e,targetZ
75282_b,speed
75283_c,targetX
75284_a,creature
75285_l,scaredByPlayerMovement
75287_j,isRunning
75289_h,closestPlayer
75290_i,delayTemptCounter
75297_f,shouldCheckSight
75298_g,targetUnseenTicks
75299_d,goalOwner
75301_b,targetSearchStatus
75302_c,targetSearchDelay
75303_a,nearbyOnly
75304_b,villageAgressorTarget
75305_a,irongolem
75307_b,targetClass
75308_c,targetChance
75309_a,nearestTarget
75310_g,tameable
75312_a,entityCallsForHelp
75313_b,attacker
75314_a,tameable
75315_b,attacker
75316_a,tameable
75318_f,seeTime
75320_d,rangedAttackTime
75321_e,entityMoveSpeed
75322_b,entityHost
75323_c,attackTarget
75325_h,maxRangedAttackTime
75326_b,leapTarget
75327_c,leapMotionY
75328_a,leaper
75329_f,watchedClass
75330_d,lookTime
75331_e,chance
75332_b,entity
75333_c,maxDistance
75334_a,closestEntity
75335_b,villager
75336_f,followSpeed
75337_g,navigator
75338_d,tameable
75339_e,owner
75340_b,maxDist
75341_c,minDist
75342_a,world
75343_h,timeToRecalcPath
75344_i,oldWaterCost
75345_d,delayCounter
75346_b,parentAnimal
75347_c,moveSpeed
75348_a,childAnimal
75350_f,hasStoppedDoorInteraction
75351_g,entityPositionX
75356_a,entity
75357_h,entityPositionZ
75358_j,previousBreakProgress
75359_i,breakingTime
75360_j,closeDoorTemporisation
75361_i,closeDoor
75367_f,world
75368_d,shelterZ
75369_e,movementSpeed
75370_b,shelterX
75371_c,shelterY
75372_a,creature
75373_a,entity
75374_f,path
75375_g,navigation
75376_d,avoidTarget
75378_b,farSpeed
75379_c,nearSpeed
75380_a,entity
75383_d,minPlayerDistance
75384_e,timeoutCounter
75385_b,player
75386_c,world
75387_a,wolf
75390_d,animal
75391_e,targetMate
75392_b,spawnBabyDelay
75393_c,moveSpeed
75394_a,world
75395_b,villager
75396_c,lookTime
75397_a,ironGolem
75408_d,attackCountdown
75409_b,entity
75410_c,target
75411_a,world
75415_f,doorList
75417_e,isNocturnal
75418_b,movementSpeed
75419_c,path
75420_a,entity
75425_f,speed
75426_g,maxTargetDistance
75427_d,movePosY
75428_e,movePosZ
75429_b,targetEntity
75430_c,movePosX
75431_a,creature
75432_d,movePosZ
75433_e,movementSpeed
75434_b,movePosX
75435_c,movePosY
75436_a,creature
75437_f,longMemory
75438_g,path
75440_e,speedTowardsTarget
75441_b,attacker
75445_i,delayCounter
75453_d,z
75454_e,speed
75455_b,x
75456_c,y
75457_a,creature
75510_g,totalTicks
75511_d,speed
75513_b,world
75514_c,currentPath
75515_a,entity
75520_h,ticksAtLastPos
75521_i,lastPosCheck
75524_b,seenEntities
75525_c,unseenEntities
75526_a,entity
75532_g,spawnX
75533_d,siegeCount
75534_e,nextSpawnTime
75535_b,hasSetupSiege
75536_c,siegeState
75538_h,spawnY
75539_i,spawnZ
75604_g,isPeacefulCreature
75606_e,maxNumberOfCreature
75644_d,posZ
75645_e,speed
75646_b,posX
75647_c,posY
75648_a,mob
75653_f,posY
75654_g,posZ
75655_d,isLooking
75656_e,posX
75657_b,deltaLookYaw
75658_c,deltaLookPitch
75659_a,mob
75662_b,isJumping
75663_a,mob
75666_b,rotationTickCounter
75667_c,prevRenderYawHead
75668_a,mob
75779_e,tickRate
75781_c,profiler
75794_e,requiresConversion
75797_a,fileName
75833_f,costToTarget
75834_g,totalCost
75835_d,index
75836_e,accumulatedCost
75837_b,y
75838_c,z
75839_a,x
75840_j,hash
75841_h,previous
75842_i,visited
75851_b,count
75852_a,pathPoints
75864_d,pathOptions
75866_b,pathHeap
75882_b,currentPathIndex
75884_a,points
75929_E,ITEM_USED
75932_A,PLAYER_KILLS
75943_n,FALL_ONE_CM
75946_m,SWIM_ONE_CM
75947_j,LEAVE_GAME
75952_v,DROP
75953_u,JUMP
75976_b,formatter
76115_a,delegate
76117_a,internalMap
76144_a,SIN_TABLE
76189_a,dirty
76190_i,name
76196_g,playersArrayList
76197_d,scale
76198_e,colors
76199_b,zCenter
76200_c,dimension
76201_a,xCenter
76202_j,playersHashMap
76203_h,mapDecorations
76211_a,player
76233_E,PISTON
76234_F,color
76235_G,flammable
76239_H,replaceable
76242_K,pushReaction
76281_a,COLORS
76290_q,colorIndex
76291_p,colorValue
76292_a,itemWeight
76302_b,enchantment
76303_c,enchantmentLevel
76307_a,octaves
76312_d,permutations
76313_b,yCoord
76314_c,zCoord
76315_a,xCoord
76325_b,sectionList
76326_c,timeStack
76339_a,PATTERN_CONTROL_CODE
76366_f,STARVE
76367_g,CACTUS
76368_d,IN_WALL
76369_e,DROWN
76370_b,ON_FIRE
76371_c,LAVA
76372_a,IN_FIRE
76373_n,damageType
76374_o,isUnblockable
76376_m,MAGIC
76377_j,GENERIC
76378_k,explosion
76379_h,FALL
76380_i,OUT_OF_WORLD
76381_t,difficultyScaled
76382_s,projectile
76383_r,fireDamage
76384_q,hungerDamage
76385_p,isDamageAllowedInCreativeMode
76386_o,damageSourceEntity
76387_p,indirectEntity
76414_N,liquidColor
76416_I,name
76419_f,MINING_FATIGUE
76420_g,STRENGTH
76421_d,SLOWNESS
76422_e,HASTE
76424_c,SPEED
76426_n,FIRE_RESISTANCE
76427_o,WATER_BREATHING
76428_l,REGENERATION
76429_m,RESISTANCE
76430_j,JUMP_BOOST
76431_k,NAUSEA
76432_h,INSTANT_HEALTH
76433_i,INSTANT_DAMAGE
76436_u,POISON
76437_t,WEAKNESS
76438_s,HUNGER
76439_r,NIGHT_VISION
76440_q,BLINDNESS
76441_p,INVISIBILITY
76443_y,SATURATION
76444_x,ABSORPTION
76460_b,duration
76461_c,amplifier
76476_f,syncLock
76477_g,isRunning
76478_d,playerStatsCollector
76479_e,timer
76480_b,uniqueID
76481_c,serverUrl
76585_a,data
76634_f,heightMap
76636_d,loaded
76637_e,world
76641_n,lastSaveTime
76643_l,dirty
76644_m,hasEntities
76645_j,entityLists
76651_r,blockBiomeArray
76652_q,sections
76682_b,blockRefCount
76683_c,blockTickRefCount
76684_a,yBase
76687_b,depthBits
76688_c,depthBitsPlusFour
76689_a,data
76692_f,data
76693_g,blocks
76694_d,blockLight
76695_e,skyLight
76696_b,terrainPopulated
76697_c,heightmap
76698_a,lastUpdated
76699_l,z
76701_k,x
76702_h,entities
76716_d,offsets
76719_c,dataFile
76748_D,depth
76749_E,scale
76767_f,FOREST
76768_g,TAIGA
76769_d,DESERT
76770_e,MOUNTAINS
76771_b,OCEAN
76772_c,PLAINS
76774_n,SNOWY_TUNDRA
76775_o,SNOWY_MOUNTAINS
76776_l,FROZEN_OCEAN
76777_m,FROZEN_RIVER
76779_k,THE_END
76780_h,SWAMP
76781_i,RIVER
76782_w,JUNGLE
76783_v,MOUNTAIN_EDGE
76784_u,TAIGA_HILLS
76785_t,WOODED_HILLS
76786_s,DESERT_HILLS
76787_r,BEACH
76788_q,MUSHROOM_FIELD_SHORE
76789_p,MUSHROOM_FIELDS
76792_x,JUNGLE_HILLS
76947_d,biome
76987_f,shadowOpaque
76989_e,shadowSize
76990_c,renderManager
76998_a,modelBoat
77013_a,modelMinecart
77023_b,zLevel
77045_g,entityModel
77073_a,scale
77077_b,rnd
77151_f,name
77154_e,id
77168_f,commandsAllowed
77170_d,hardcoreEnabled
77172_b,gameType
77177_f,nextTickEntryID
77178_g,tickEntryID
77198_c,defaultLightValue
77275_b,z
77276_a,x
77280_f,size
77281_g,affectedBlockPositions
77282_d,z
77283_e,exploder
77284_b,x
77285_c,y
77286_a,causesFire
77287_j,world
77288_k,playerKnockbackMap
77290_i,random
77329_d,FIRE_PROTECTION
77333_a,rarity
77334_n,FIRE_ASPECT
77350_z,name
77351_y,type
77356_a,protectionType
77358_D,LEVEL_COST_SPAN
77359_A,DAMAGE_NAMES
77360_B,MIN_COST
77361_a,damageType
77362_C,LEVEL_COST
77471_a,foliageBuffer
77481_a,grassBuffer
77490_b,lanServerIpPort
77491_c,timeLastSeen
77492_a,lanServerMotd
77498_b,broadcastAddress
77499_c,socket
77500_a,localServerList
77526_d,isStopping
77527_e,address
77528_b,motd
77529_c,socket
77555_b,listOfLanServers
77556_a,wasUpdated
77574_d,recipeItems
77575_e,recipeOutput
77576_b,recipeWidth
77577_c,recipeHeight
77579_b,recipeItems
77580_a,recipeOutput
77697_d,random
77699_b,maxDamage
77700_c,containerItem
77701_a,group
77774_bZ,translationKey
77777_bU,maxStackSize
77841_a,minecartType
77864_a,efficiency
77865_bY,attackDamage
77876_a,containedBlock
77879_b,damageReduceAmount
77881_a,slot
77882_bY,MAX_DAMAGE_ARRAY
77937_e,color
77990_d,tag
77992_b,animationsToGo
77994_a,count
78001_f,harvestLevel
78002_g,maxUses
78008_j,enchantability
78010_h,efficiency
78011_i,attackDamage
78026_f,MISC
78027_g,SEARCH
78028_d,REDSTONE
78029_e,TRANSPORTATION
78030_b,BUILDING_BLOCKS
78031_c,DECORATIONS
78032_a,GROUPS
78033_n,index
78034_o,groupLabel
78035_l,MATERIALS
78036_m,INVENTORY
78037_j,COMBAT
78038_k,BREWING
78039_h,FOOD
78040_i,TOOLS
78041_r,drawTitle
78042_q,hasScrollbar
78043_p,backgroundTexture
78048_f,maxDamageFactor
78049_g,damageReductionAmountArray
78055_h,enchantability
78089_u,textureHeight
78090_t,textureWidth
78096_f,flippingPageLeft
78097_g,bookSpine
78098_d,pagesLeft
78099_e,flippingPageRight
78100_b,coverLeft
78101_c,pagesRight
78102_a,coverRight
78105_b,blazeHead
78106_a,blazeSticks
78108_b,core
78109_a,segments
78115_e,bipedBody
78116_c,bipedHead
78125_b,isAttacking
78126_a,isCarrying
78127_b,tentacles
78129_f,leg3
78130_g,leg4
78131_d,leg1
78132_e,leg2
78133_b,creeperArmor
78134_c,body
78135_a,head
78136_f,leftWing
78137_g,bill
78138_d,leftLeg
78139_e,rightWing
78140_b,body
78141_c,rightLeg
78142_a,head
78143_h,chin
78144_f,legFrontLeft
78146_d,legBackLeft
78147_e,legFrontRight
78148_b,body
78149_c,legBackRight
78150_a,headModel
78152_i,headRotationAngleX
78153_i,headRotationAngleX
78154_a,sideModels
78155_f,ocelotTail2
78156_g,ocelotHead
78157_d,ocelotFrontRightLeg
78158_e,ocelotTail
78159_b,ocelotBackRightLeg
78160_c,ocelotFrontLeftLeg
78161_a,ocelotBackLeftLeg
78162_h,ocelotBody
78163_i,state
78165_b,signStick
78166_a,signBoard
78167_d,SILVERFISH_BOX_LENGTH
78168_e,SILVERFISH_TEXTURE_POSITIONS
78169_b,silverfishWings
78170_c,zPlacement
78171_a,silverfishBodyParts
78173_f,ironGolemRightLeg
78174_d,ironGolemLeftArm
78175_e,ironGolemLeftLeg
78176_b,ironGolemBody
78177_c,ironGolemRightArm
78178_a,ironGolemHead
78179_f,legFrontLeft
78180_g,tail
78181_d,legBackLeft
78182_e,legFrontRight
78183_b,body
78184_c,legBackRight
78185_a,head
78186_h,mane
78187_d,rightVillagerLeg
78188_e,leftVillagerLeg
78189_b,villagerBody
78190_c,villagerArms
78191_a,villagerHead
78192_d,rightHand
78193_e,leftHand
78194_b,bottomBody
78195_c,head
78196_a,body
78197_d,slimeMouth
78198_b,slimeRightEye
78199_c,slimeLeftEye
78200_a,slimeBodies
78201_b,legs
78202_a,body
78203_f,spiderLeg3
78204_g,spiderLeg4
78205_d,spiderLeg1
78206_e,spiderLeg2
78207_b,spiderNeck
78208_c,spiderBody
78209_a,spiderHead
78210_j,spiderLeg7
78211_k,spiderLeg8
78212_h,spiderLeg5
78213_i,spiderLeg6
78217_d,body
78219_b,spine
78220_c,jaw
78221_a,head
78223_m,partialTicks
78239_a,vertexPositions
78241_b,textureU
78242_c,textureV
78243_a,position
78246_f,posZ2
78248_d,posX2
78249_e,posY2
78250_b,posY1
78251_c,posZ1
78252_a,posX1
78254_i,quads
78288_b,FONT_HEIGHT
78289_c,random
78398_a,INSTANCE
78455_a,mc
78503_V,cameraZoom
78506_S,fovModifierHandPrev
78507_R,fovModifierHand
78508_Y,prevFrameTime
78513_d,lightmapTexture
78516_c,itemRenderer
78529_t,rendererUpdateCount
78530_s,farPlaneDistance
78531_r,mc
78537_ab,random
78722_g,world
78724_e,textureManager
78729_o,renderers
78733_k,options
78736_p,textRenderer
78741_b,SECONDARY_COMPONENTS
78742_a,PRIMARY_COMPONENTS
78770_f,curBlockDamageMP
78774_b,connection
78776_a,mc
78777_l,currentPlayerItem
78778_j,isHittingBlock
78779_k,currentGameType
78780_h,stepSoundTickCounter
78781_i,blockHitDelay
78795_f,rotateAngleX
78796_g,rotateAngleY
78797_d,rotationPointY
78798_e,rotationPointZ
78799_b,textureHeight
78800_c,rotationPointX
78801_a,textureWidth
78803_o,textureOffsetX
78804_l,cubeList
78805_m,childModels
78806_j,showModel
78808_h,rotateAngleZ
78809_i,mirror
78813_p,textureOffsetY
78824_d,maxPlaceCount
78825_e,allowInRow
78826_b,weight
78827_c,placeCount
78828_a,weightClass
78829_b,responseTime
78841_f,pinged
78843_d,serverMOTD
78844_e,pingToServer
78845_b,serverIP
78846_c,populationInfo
78847_a,serverName
78858_b,servers
78859_a,mc
78865_b,serverPort
78866_a,ipAddress
78875_d,rand
78876_b,byType
78877_c,renderer
78878_a,world
78892_f,maxZ
78893_d,maxX
78894_e,maxY
78895_b,minY
78896_c,minZ
78897_a,minX
78901_c,jump
78902_a,moveStrafe
